created_at,id,text,hashtags,in_reply_to_status_id,in_reply_to_user_id,user_id,user_name,user_location,user_followers_count,user_friends_count,user_statuses_count,user_verified,user_notifications,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,possibly_sensitive_appealable,lang,english,universal
Sun Nov 17 16:48:40 +0000 2019,1196107899895984128,"RT @pizzaital: ...
John #Lennon &amp; the Plastic #Ono Band...
(@johnlennon @yokoono)...
Imagine...
(with the Flux Fiddlers/official #Music-#Vi…",012,,,213018335,marina s.  🌐 🎗,Mars 🌠,4111,4739,90871,False,False,1,0,False,False,False,,en,"[0.06783456974919343, 0.05333128056896264, 0.06783456974919343, 0.06783456974919343, 0.9448325758058531, 0.09286695366967546, 0.9448325758058531, 0.9448325758058531, 0.9448325758058531]","[0.06078011352084069, 0.14812070832967303, 0.11116719108518804, 0.06078011352084069, 0.9369230763705965, 0.07089257330076087, 0.9369230763705965, 0.9369230763705965, 0.9369230763705965]"
Sun Nov 17 16:48:31 +0000 2019,1196107861526536192,"RT @Thomas_Harrer: ⚡ Architecting The Future with Thomas Harrer, #IBM Distinguished Engineer, #CTO @ #IBMSystems, #Europe.

#ArchitectingTh…",0123,,,85509895,"Ludmila Morozova-Buss & Stéphane Nappo, #CISO",🇩🇪 Berlin & 🇫🇷 Paris ,28699,3221,119575,False,False,2,0,False,False,,,en,"[0.16847316644464133, 0.06783456974919343, 0.9448325758058531, 0.05333128056896264, 0.03546593341354506, 0.06783456974919343, 0.16847316644464133, 0.12588928944948308, 0.1167953743919475, 0.9448325758058531, 0.9448325758058531, 0.1167953743919475, 0.05333128056896264, 0.1167953743919475, 0.1167953743919475, 0.06783456974919343, 0.06783456974919343, 0.9448325758058531, 0.06783456974919343, 0.06783456974919343, 0.1167953743919475, 0.10827700665723966, 0.9448325758058531, 0.46359219069702307, 0.1167953743919475]","[0.19466773728450495, 0.06078011352084069, 0.9369230763705965, 0.14812070832967303, 0.0825396626774012, 0.06078011352084069, 0.19466773728450495, 0.09590276214117437, 0.08899515596679244, 0.9369230763705965, 0.9369230763705965, 0.08899515596679244, 0.18207903130928815, 0.2079055732880228, 0.13802618960216584, 0.06078011352084069, 0.11116719108518804, 0.9369230763705965, 0.11116719108518804, 0.06078011352084069, 0.2079055732880228, 0.19466773728450495, 0.9369230763705965, 0.413569897933165, 0.08899515596679244]"
